compound_id|flavor_id|flavor_name
16174|25|geranium
16174|33|floral
16174|684|powdery
16174|701|red rose
16174|848|waxy
16175|59|green
16175|103|minty
16175|229|spice
16175|531|herbal
16175|675|phenolic
16175|730|rosemary
16176|66|mushroom
16176|68|earthy
16176|734|rubbery
16177|20|coumarin
16177|75|coconut
16177|526|hay
16177|812|tonka
16179|5|vegetable
16179|40|chocolate
16179|67|musty
16179|141|coffee
16179|184|meat
16179|197|nut
16179|697|raw
16179|790|sulfury
16183|5|vegetable
16183|59|green
16183|95|sulfurous
16183|133|cabbage
16184|33|floral
16184|81|fruity
16184|609|mignonette
16184|848|waxy
16187|93|alcohol
16187|123|bitter
16187|610|mild
16189|123|bitter
16189|269|alcoholic
16189|610|mild
16190|123|bitter
16190|269|alcoholic
16190|610|mild
16194|25|geranium
16194|33|floral
16194|59|green
16194|123|bitter
16194|176|leaf
16194|725|rose dried
16195|21|spicy
16195|25|geranium
16195|50|citrus
16195|123|bitter
16195|684|powdery
16195|701|red rose
16196|25|geranium
16196|34|rose
16196|832|verbena
16197|25|geranium
16197|72|berry
16197|81|fruity
16197|701|red rose
16197|814|tropical
16199|123|bitter
16199|701|red rose
16199|761|sensual
16200|25|geranium
16200|33|floral
16200|42|honey
16200|684|powdery
16200|701|red rose
16200|848|waxy
16201|643|odorless
16202|17|oily
16202|66|mushroom
16202|107|fishy
16202|165|garlic
16203|33|floral
16203|59|green
16204|18|fatty
16204|81|fruity
